Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species,SepalRatio
27,5.0,3.4,1.6,0.4,Iris-setosa,1.4705882352941178
29,5.2,3.4,1.4,0.2,Iris-setosa,1.5294117647058825
21,5.4,3.4,1.7,0.2,Iris-setosa,1.5882352941176472
122,5.6,2.8,4.9,2.0,Iris-virginica,2.0
112,6.4,2.7,5.3,1.9,Iris-virginica,2.3703703703703702
105,6.5,3.0,5.8,2.2,Iris-virginica,2.1666666666666665
62,5.9,3.0,4.2,1.5,Iris-versicolor,1.9666666666666668
56,5.7,2.8,4.5,1.3,Iris-versicolor,2.035714285714286
93,5.8,2.6,4.0,1.2,Iris-versicolor,2.230769230769231
147,6.3,2.5,5.0,1.9,Iris-virginica,2.52
76,6.6,3.0,4.4,1.4,Iris-versicolor,2.1999999999999997
11,5.4,3.7,1.5,0.2,Iris-setosa,1.4594594594594594
66,6.7,3.1,4.4,1.4,Iris-versicolor,2.161290322580645
39,4.4,3.0,1.3,0.2,Iris-setosa,1.4666666666666668
51,7.0,3.2,4.7,1.4,Iris-versicolor,2.1875
35,4.9,3.1,1.5,0.1,Iris-setosa,1.5806451612903227
104,6.3,2.9,5.6,1.8,Iris-virginica,2.1724137931034484
137,6.3,3.4,5.6,2.4,Iris-virginica,1.8529411764705883
123,7.7,2.8,6.7,2.0,Iris-virginica,2.7500000000000004
75,6.4,2.9,4.3,1.3,Iris-versicolor,2.206896551724138
55,6.5,2.8,4.6,1.5,Iris-versicolor,2.3214285714285716
26,5.0,3.0,1.6,0.2,Iris-setosa,1.6666666666666667
100,5.7,2.8,4.1,1.3,Iris-versicolor,2.035714285714286
50,5.0,3.3,1.4,0.2,Iris-setosa,1.5151515151515151
33,5.2,4.1,1.5,0.1,Iris-setosa,1.2682926829268295
116,6.4,3.2,5.3,2.3,Iris-virginica,2.0
87,6.7,3.1,4.7,1.5,Iris-versicolor,2.161290322580645
111,6.5,3.2,5.1,2.0,Iris-virginica,2.03125
58,4.9,2.4,3.3,1.0,Iris-versicolor,2.041666666666667
41,5.0,3.5,1.3,0.3,Iris-setosa,1.4285714285714286
94,5.0,2.3,3.3,1.0,Iris-versicolor,2.173913043478261
84,6.0,2.7,5.1,1.6,Iris-versicolor,2.222222222222222
20,5.1,3.8,1.5,0.3,Iris-setosa,1.3421052631578947
44,5.0,3.5,1.6,0.6,Iris-setosa,1.4285714285714286
88,6.3,2.3,4.4,1.3,Iris-versicolor,2.739130434782609
36,5.0,3.2,1.2,0.2,Iris-setosa,1.5625
97,5.7,2.9,4.2,1.3,Iris-versicolor,1.9655172413793105
73,6.3,2.5,4.9,1.5,Iris-versicolor,2.52
79,6.0,2.9,4.5,1.5,Iris-versicolor,2.0689655172413794
146,6.7,3.0,5.2,2.3,Iris-virginica,2.2333333333333334
64,6.1,2.9,4.7,1.4,Iris-versicolor,2.103448275862069
16,5.7,4.4,1.5,0.4,Iris-setosa,1.2954545454545454
91,5.5,2.6,4.4,1.2,Iris-versicolor,2.1153846153846154
96,5.7,3.0,4.2,1.2,Iris-versicolor,1.9000000000000001
60,5.2,2.7,3.9,1.4,Iris-versicolor,1.9259259259259258
46,4.8,3.0,1.4,0.3,Iris-setosa,1.5999999999999999
45,5.1,3.8,1.9,0.4,Iris-setosa,1.3421052631578947
108,7.3,2.9,6.3,1.8,Iris-virginica,2.5172413793103448
18,5.1,3.5,1.4,0.3,Iris-setosa,1.457142857142857
54,5.5,2.3,4.0,1.3,Iris-versicolor,2.3913043478260874
81,5.5,2.4,3.8,1.1,Iris-versicolor,2.291666666666667
95,5.6,2.7,4.2,1.3,Iris-versicolor,2.074074074074074
128,6.1,3.0,4.9,1.8,Iris-virginica,2.033333333333333
134,6.3,2.8,5.1,1.5,Iris-virginica,2.25
19,5.7,3.8,1.7,0.3,Iris-setosa,1.5000000000000002
24,5.1,3.3,1.7,0.5,Iris-setosa,1.5454545454545454
144,6.8,3.2,5.9,2.3,Iris-virginica,2.125
14,4.3,3.0,1.1,0.1,Iris-setosa,1.4333333333333333
28,5.2,3.5,1.5,0.2,Iris-setosa,1.4857142857142858
49,5.3,3.7,1.5,0.2,Iris-setosa,1.4324324324324322
83,5.8,2.7,3.9,1.2,Iris-versicolor,2.148148148148148
125,6.7,3.3,5.7,2.1,Iris-virginica,2.0303030303030303
17,5.4,3.9,1.3,0.4,Iris-setosa,1.3846153846153848
106,7.6,3.0,6.6,2.1,Iris-virginica,2.533333333333333
136,7.7,3.0,6.1,2.3,Iris-virginica,2.566666666666667
140,6.9,3.1,5.4,2.1,Iris-virginica,2.2258064516129035
65,5.6,2.9,3.6,1.3,Iris-versicolor,1.9310344827586206
61,5.0,2.0,3.5,1.0,Iris-versicolor,2.5
109,6.7,2.5,5.8,1.8,Iris-virginica,2.68
57,6.3,3.3,4.7,1.6,Iris-versicolor,1.9090909090909092
139,6.0,3.0,4.8,1.8,Iris-virginica,2.0
72,6.1,2.8,4.0,1.3,Iris-versicolor,2.1785714285714284
148,6.5,3.0,5.2,2.0,Iris-virginica,2.1666666666666665
90,5.5,2.5,4.0,1.3,Iris-versicolor,2.2
126,7.2,3.2,6.0,1.8,Iris-virginica,2.25
102,5.8,2.7,5.1,1.9,Iris-virginica,2.148148148148148
52,6.4,3.2,4.5,1.5,Iris-versicolor,2.0
69,6.2,2.2,4.5,1.5,Iris-versicolor,2.818181818181818
101,6.3,3.3,6.0,2.5,Iris-virginica,1.9090909090909092
59,6.6,2.9,4.6,1.3,Iris-versicolor,2.2758620689655173
99,5.1,2.5,3.0,1.1,Iris-versicolor,2.04
131,7.4,2.8,6.1,1.9,Iris-virginica,2.6428571428571432
135,6.1,2.6,5.6,1.4,Iris-virginica,2.346153846153846
68,5.8,2.7,4.1,1.0,Iris-versicolor,2.148148148148148
86,6.0,3.4,4.5,1.6,Iris-versicolor,1.7647058823529411
43,4.4,3.2,1.3,0.2,Iris-setosa,1.375
145,6.7,3.3,5.7,2.5,Iris-virginica,2.0303030303030303
70,5.6,2.5,3.9,1.1,Iris-versicolor,2.2399999999999998
74,6.1,2.8,4.7,1.2,Iris-versicolor,2.1785714285714284
133,6.4,2.8,5.6,2.2,Iris-virginica,2.285714285714286
48,4.6,3.2,1.4,0.2,Iris-setosa,1.4374999999999998
40,5.1,3.4,1.5,0.2,Iris-setosa,1.5
118,7.7,3.8,6.7,2.2,Iris-virginica,2.0263157894736845
141,6.7,3.1,5.6,2.4,Iris-virginica,2.161290322580645
12,4.8,3.4,1.6,0.2,Iris-setosa,1.411764705882353
63,6.0,2.2,4.0,1.0,Iris-versicolor,2.727272727272727
32,5.4,3.4,1.5,0.4,Iris-setosa,1.5882352941176472
13,4.8,3.0,1.4,0.1,Iris-setosa,1.5999999999999999
34,5.5,4.2,1.4,0.2,Iris-setosa,1.3095238095238095
114,5.7,2.5,5.0,2.0,Iris-virginica,2.2800000000000002
110,7.2,3.6,6.1,2.5,Iris-virginica,2.0
127,6.2,2.8,4.8,1.8,Iris-virginica,2.2142857142857144
98,6.2,2.9,4.3,1.3,Iris-versicolor,2.137931034482759
85,5.4,3.0,4.5,1.5,Iris-versicolor,1.8
132,7.9,3.8,6.4,2.0,Iris-virginica,2.0789473684210527
150,5.9,3.0,5.1,1.8,Iris-virginica,1.9666666666666668
31,4.8,3.1,1.6,0.2,Iris-setosa,1.5483870967741935
82,5.5,2.4,3.7,1.0,Iris-versicolor,2.291666666666667
117,6.5,3.0,5.5,1.8,Iris-virginica,2.1666666666666665
25,4.8,3.4,1.9,0.2,Iris-setosa,1.411764705882353
103,7.1,3.0,5.9,2.1,Iris-virginica,2.3666666666666667
113,6.8,3.0,5.5,2.1,Iris-virginica,2.2666666666666666
